ID,Nombre,Código,Nemotécnico,Número,Propietario,Tiene SCADA,Tiene Equipos Com,Tiene Pararrayos
489,S/E MACHALI,SE147,SE147T0058,147,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
491,S/E SAN JUAN,SE149,SE149T0058,149,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
492,S/E LAS ENCINAS,SE150,SE150T0058,150,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
493,S/E MALLOA NUEVA,SE151,SE151T0058,151,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
494,S/E NEWEN,SE152,SE152T0058,152,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
496,S/E QUINTA DE TILCOCO,SE154,SE154T0058,154,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
498,S/E EL MANCO,SE208,SE208T0058,208,CGE TRANSMISIÓN S.A.,Sí,Sí,No
499,S/E ALHUE,SE209,SE209T0058,209,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
500,S/E ZONA DE CAIDA,SE001,SE001T0008,1,PALMUCHO S.A.,Sí,No,Sí
502,S/E CORRAL,SE001,SE001T0003,1,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,Sí,Sí,Sí
503,S/E ANCUD,SE002,SE002T0003,2,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,No,Sí,Sí
504,S/E CHOLGUAN (STS),SE004,SE004T0003,4,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,No,Sí,Sí
505,S/E CHONCHI,SE005,SE005T0003,5,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,No,Sí,Sí
506,S/E COLACO,SE006,SE006T0003,6,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,No,Sí,Sí
507,S/E LOS NEGROS,SE007,SE007T0003,7,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,No,Sí,Sí
508,S/E EL EMPALME,SE008,SE008T0003,8,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,No,Sí,Sí
509,S/E BARRO BLANCO,SE009,SE009T0003,9,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,No,Sí,Sí
510,S/E FRUTILLAR,SE010,SE010T0003,10,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,No,Sí,Sí
511,S/E AIHUAPI,SE011,SE011T0003,11,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,No,Sí,Sí
512,S/E LA UNION,SE012,SE012T0003,12,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,Sí,Sí,Sí
513,S/E MELIPULLI,SE013,SE013T0003,13,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,Sí,Sí,Sí
514,S/E LOS LAGOS,SE014,SE014T0003,14,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,Sí,Sí,Sí
515,S/E PID PID,SE015,SE015T0003,15,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,No,Sí,Sí
516,S/E OSORNO,SE016,SE016T0003,16,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,No,Sí,Sí
517,S/E PANGUIPULLI,SE017,SE017T0003,17,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,Sí,Sí,Sí
518,S/E PICARTE,SE018,SE018T0003,18,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,Sí,Sí,Sí
519,S/E PICHIRROPULLI,SE019,SE019T0003,19,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,Sí,Sí,Sí
520,S/E PUERTO VARAS,SE021,SE021T0003,21,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,No,Sí,Sí
521,S/E PURRANQUE,SE022,SE022T0003,22,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,No,Sí,Sí
525,S/E QUELLON,SE026,SE026T0003,26,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,No,No,No
526,S/E CALBUCO,SE027,SE027T0003,27,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,No,Sí,Sí
527,S/E CASTRO,SE028,SE028T0003,28,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,No,Sí,Sí
528,S/E DEGAÑ,SE029,SE029T0003,29,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,No,Sí,Sí
529,S/E PUERTO MONTT (STS),SE030,SE030T0003,30,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,No,Sí,Sí
530,S/E VALDIVIA (STS),SE031,SE031T0003,31,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,Sí,Sí,Sí
531,S/E CHILOE,SE032,SE032T0003,32,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,No,No,No
560,S/E ALTO JAHUEL,SE002,SE002T0002,2,TRANSELEC S.A.,Sí,Sí,Sí
561,S/E ANCOA,SE003,SE003T0002,3,TRANSELEC S.A.,No,No,No
562,S/E CARDONES,SE001,SE001T0002,1,TRANSELEC S.A.,Sí,Sí,Sí
563,S/E CARRERA PINTO,SE005,SE005T0002,5,TRANSELEC S.A.,Sí,Sí,Sí
564,S/E CASTILLA,SE006,SE006T0002,6,TRANSELEC S.A.,No,No,Sí
565,S/E CERRO NAVIA (TRANSELEC),SE008,SE008T0002,8,TRANSELEC S.A.,Sí,Sí,Sí
566,S/E CHARRUA,SE009,SE009T0002,9,TRANSELEC S.A.,No,No,No
568,S/E CONCEPCION,SE012,SE012T0002,12,TRANSELEC S.A.,Sí,Sí,Sí
569,S/E DIEGO DE ALMAGRO,SE014,SE014T0002,14,TRANSELEC S.A.,No,No,No
570,S/E DOS AMIGOS,SE015,SE015T0002,15,TRANSELEC S.A.,No,No,Sí
571,S/E EL SALADO,SE016,SE016T0002,16,TRANSELEC S.A.,Sí,Sí,No
572,S/E CENTRAL EL TORO,SE017,SE017T0002,17,TRANSELEC S.A.,Sí,No,Sí
573,S/E HUALPEN,SE018,SE018T0002,18,TRANSELEC S.A.,Sí,Sí,Sí
574,S/E HUASCO,SE019,SE019T0002,19,TRANSELEC S.A.,Sí,Sí,Sí
575,S/E ITAHUE,SE020,SE020T0002,20,TRANSELEC S.A.,Sí,Sí,Sí
577,S/E LAJA,SE022,SE022T0002,22,TRANSELEC S.A.,Sí,No,Sí
578,S/E LOS MOLLES,SE024,SE024T0002,24,TRANSELEC S.A.,Sí,Sí,Sí
579,S/E LOS VILOS,SE025,SE025T0002,25,TRANSELEC S.A.,Sí,Sí,Sí
580,S/E MAITENCILLO,SE026,SE026T0002,26,TRANSELEC S.A.,Sí,Sí,Sí
581,S/E PAN DE AZUCAR,SE027,SE027T0002,27,TRANSELEC S.A.,Sí,Sí,Sí
582,S/E PAPOSO,SE028,SE028T0002,28,TRANSELEC S.A.,Sí,Sí,Sí
583,S/E CENTRAL PEHUENCHE,SE029,SE029T0002,29,TRANSELEC S.A.,Sí,No,Sí
584,S/E POLPAICO (TRANSELEC),SE030,SE030T0002,30,TRANSELEC S.A.,Sí,Sí,Sí
585,S/E PUERTO MONTT,SE031,SE031T0002,31,TRANSELEC S.A.,Sí,Sí,Sí
586,S/E QUILLOTA,SE032,SE032T0002,32,TRANSELEC S.A.,Sí,Sí,Sí
587,S/E RANCAGUA,SE033,SE033T0002,33,TRANSELEC S.A.,Sí,Sí,Sí
588,TAP OFF ROMERAL,SE034,SE034T0002,34,TRANSELEC S.A.,No,No,No
589,S/E SAN VICENTE,SE035,SE035T0002,35,TRANSELEC S.A.,Sí,Sí,No
590,S/E SAUZAL,SE036,SE036T0002,36,TRANSELEC S.A.,Sí,Sí,No
591,S/E TEMUCO,SE037,SE037T0002,37,TRANSELEC S.A.,Sí,Sí,No
592,S/E VALDIVIA,SE038,SE038T0002,38,TRANSELEC S.A.,Sí,Sí,No
593,S/E VALLENAR,SE039,SE039T0002,39,TRANSELEC S.A.,Sí,No,No
604,S/E CAUTIN,SE053,SE053T0002,53,TRANSELEC S.A.,Sí,Sí,No
605,S/E NOGALES,SE054,SE054T0002,54,TRANSELEC S.A.,Sí,Sí,No
606,S/E PUNTA COLORADA,SE056,SE056T0002,56,TRANSELEC S.A.,Sí,Sí,No
607,S/E TINGUIRIRICA,SE057,SE057T0002,57,TRANSELEC S.A.,No,No,No
608,S/E LAGUNILLAS,SE058,SE058T0002,58,TRANSELEC S.A.,Sí,Sí,No
611,S/E LAS PALMAS,SE062,SE062T0002,62,TRANSELEC S.A.,Sí,Sí,No
614,S/E CIRUELOS,SE004,SE004T0002,4,TRANSELEC S.A.,Sí,Sí,Sí
615,S/E SAN LUIS,SE004,SE004T0061,4,ALFA TRANSMISORA DE ENERGÍA S.A.,No,Sí,Sí
616,S/E ALTO DEL CARMEN,SE164,SE164T0058,164,CGE TRANSMISIÓN S.A.,No,No,Sí
617,S/E CALDERA,SE210,SE210T0058,210,CGE TRANSMISIÓN S.A.,No,No,Sí
618,S/E CERRILLOS,SE156,SE156T0058,156,CGE TRANSMISIÓN S.A.,Sí,No,Sí
619,S/E CHAÑARAL,SE157,SE157T0058,157,CGE TRANSMISIÓN S.A.,No,No,Sí
620,S/E COPIAPO,SE158,SE158T0058,158,CGE TRANSMISIÓN S.A.,Sí,No,Sí
621,S/E HERNAN FUENTES,SE159,SE159T0058,159,CGE TRANSMISIÓN S.A.,Sí,No,Sí
622,S/E LOS LOROS,SE160,SE160T0058,160,CGE TRANSMISIÓN S.A.,Sí,No,Sí
623,S/E PLANTAS,SE161,SE161T0058,161,CGE TRANSMISIÓN S.A.,Sí,No,Sí
624,S/E TIERRA AMARILLA,SE162,SE162T0058,162,CGE TRANSMISIÓN S.A.,Sí,No,Sí
627,S/E ALCONES,SE165,SE165T0058,165,CGE TRANSMISIÓN S.A.,No,No,Sí
628,S/E BAJO MELIPILLA,SE166,SE166T0058,166,CGE TRANSMISIÓN S.A.,No,Sí,Sí
629,S/E BOLLENAR,SE167,SE167T0058,167,CGE TRANSMISIÓN S.A.,Sí,No,Sí
630,S/E CAUQUENES,SE168,SE168T0058,168,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
631,S/E CHOCALAN,SE169,SE169T0058,169,CGE TRANSMISIÓN S.A.,No,No,Sí
632,S/E CONSTITUCION,SE170,SE170T0058,170,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
633,S/E EL MAITEN,SE171,SE171T0058,171,CGE TRANSMISIÓN S.A.,No,No,Sí
634,S/E EL MONTE,SE172,SE172T0058,172,CGE TRANSMISIÓN S.A.,No,No,Sí
635,S/E EL PAICO,SE173,SE173T0058,173,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
636,S/E EL PEUMO,SE174,SE174T0058,174,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
637,S/E HUALANE,SE176,SE176T0058,176,CGE TRANSMISIÓN S.A.,No,No,Sí
638,S/E HUALTE,SE177,SE177T0058,177,CGE TRANSMISIÓN S.A.,No,No,Sí
639,S/E LA ESPERANZA,SE178,SE178T0058,178,CGE TRANSMISIÓN S.A.,No,No,Sí
640,S/E LA MANGA,SE197,SE197T0058,197,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
641,S/E LA VEGA,SE203,SE203T0058,203,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
642,S/E LAS ARAÑAS,SE179,SE179T0058,179,CGE TRANSMISIÓN S.A.,No,No,No
643,S/E LEYDA,SE206,SE206T0058,206,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
644,S/E LICANTEN,SE050,SE050T0058,50,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
645,S/E LIHUEIMO,SE180,SE180T0058,180,CGE TRANSMISIÓN S.A.,No,Sí,Sí
646,S/E MANDINGA,SE182,SE182T0058,182,CGE TRANSMISIÓN S.A.,No,No,Sí
647,S/E MARCHIGÜE,SE183,SE183T0058,183,CGE TRANSMISIÓN S.A.,No,No,Sí
648,S/E NANCAGUA,SE184,SE184T0058,184,CGE TRANSMISIÓN S.A.,No,No,Sí
649,S/E PANIAHUE,SE185,SE185T0058,185,CGE TRANSMISIÓN S.A.,No,Sí,Sí
650,S/E PARRONAL,SE186,SE186T0058,186,CGE TRANSMISIÓN S.A.,No,No,Sí
651,S/E PLACILLA,SE187,SE187T0058,187,CGE TRANSMISIÓN S.A.,No,Sí,Sí
652,S/E PORTEZUELO,SE201,SE201T0058,201,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
653,S/E QUELENTARO,SE200,SE200T0058,200,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
654,S/E QUIRIHUE,SE188,SE188T0058,188,CGE TRANSMISIÓN S.A.,No,No,Sí
655,S/E RANGUILI,SE202,SE202T0058,202,CGE TRANSMISIÓN S.A.,No,No,Sí
656,S/E REGULADORA RAPEL,SE195,SE195T0058,195,CGE TRANSMISIÓN S.A.,Sí,No,Sí
657,S/E RETIRO,SE175,SE175T0058,175,CGE TRANSMISIÓN S.A.,No,No,Sí
658,S/E SAN CARLOS,SE189,SE189T0058,189,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
659,S/E SAN CLEMENTE,SE198,SE198T0058,198,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
660,S/E SAN JAVIER,SE190,SE190T0058,190,CGE TRANSMISIÓN S.A.,No,No,Sí
661,S/E SANTA ROSA (CGE),SE191,SE191T0058,191,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
662,S/E VILLA PRAT,SE192,SE192T0058,192,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
669,S/E SAN RAFAEL,SE207,SE207T0058,207,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
672,S/E BAÑOS DEL TORO,SE002,SE002L0094,2,COMPAÑÍA MINERA ZALDÍVAR LTDA,No,Sí,Sí
674,S/E ALONSO DE CORDOVA,SE001,SE001T0835,1,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
675,S/E ALTAMIRANO,SE002,SE002T0835,2,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
676,S/E ANDES (STM),SE053,SE053T0835,53,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
677,S/E APOQUINDO,SE004,SE004T0835,4,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
678,S/E BATUCO,SE005,SE005T0835,5,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
679,S/E BRASIL,SE006,SE006T0835,6,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
680,S/E BUIN (STM),SE007,SE007T0835,7,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
681,S/E CALEU,SE090,SE090T0835,90,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,No,No,No
682,S/E CARRASCAL,SE008,SE008T0835,8,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
683,S/E CHACABUCO,SE009,SE009T0835,9,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
684,S/E CHENA,SE010,SE010T0835,10,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
685,S/E CLUB HIPICO,SE011,SE011T0835,11,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
686,S/E CURACAVI,SE012,SE012T0835,12,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,No,No,Sí
687,S/E EL MANZANO (STM),SE013,SE013T0835,13,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
688,S/E EL SALTO,SE014,SE014T0835,14,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
689,S/E FLORIDA,SE015,SE015T0835,15,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
690,S/E LA CISTERNA,SE016,SE016T0835,16,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
691,S/E LA DEHESA,SE017,SE017T0835,17,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
692,S/E LA PINTANA,SE018,SE018T0835,18,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
693,S/E LA REINA,SE019,SE019T0835,19,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
694,S/E LAMPA,SE020,SE020T0835,20,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
695,S/E LAS ACACIAS,SE021,SE021T0835,21,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
696,S/E LO AGUIRRE,SE022,SE022T0835,22,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,No,No,Sí
697,S/E LO BOZA,SE023,SE023T0835,23,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
698,TAP OFF LO ESPEJO,SE024,SE024T0835,24,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,No
699,S/E LO PRADO,SE025,SE025T0835,25,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,No,No,Sí
700,S/E LO VALLEDOR,SE026,SE026T0835,26,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
701,S/E LORD COCHRANE,SE027,SE027T0835,27,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
702,S/E LOS ALMENDROS,SE028,SE028T0835,28,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
703,S/E LOS DOMINICOS,SE029,SE029T0835,29,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
704,S/E MACUL,SE030,SE030T0835,30,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
705,S/E MAIPU,SE031,SE031T0835,31,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
706,S/E MALLOCO,SE032,SE032T0835,32,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
707,S/E MOVIL,SE093,SE093T0835,93,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,No,No,Sí
708,S/E OCHAGAVIA,SE033,SE033T0835,33,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
709,S/E PAJARITOS,SE034,SE034T0835,34,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
710,S/E PANAMERICANA,SE035,SE035T0835,35,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
711,S/E POLPAICO (STM),SE089,SE089T0835,89,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
712,S/E PUDAHUEL,SE036,SE036T0835,36,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
713,S/E QUILICURA,SE037,SE037T0835,37,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
714,S/E RECOLETA,SE038,SE038T0835,38,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
715,S/E RENCA,SE039,SE039T0835,39,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
716,S/E RUNGUE,SE088,SE088T0835,88,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,No,No,Sí
717,S/E SAN BERNARDO,SE040,SE040T0835,40,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
718,S/E SAN CRISTOBAL,SE041,SE041T0835,41,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
719,S/E SAN JOAQUIN (STM),SE042,SE042T0835,42,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
720,S/E SAN JOSE,SE043,SE043T0835,43,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
721,S/E SAN PABLO,SE044,SE044T0835,44,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
722,S/E SANTA ELENA,SE045,SE045T0835,45,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
723,S/E SANTA MARTA,SE046,SE046T0835,46,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,No,No,No
724,S/E SANTA RAQUEL,SE047,SE047T0835,47,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
725,S/E SANTA ROSA SUR,SE048,SE048T0835,48,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
726,S/E VITACURA,SE049,SE049T0835,49,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Sí,Sí,Sí
774,S/E AGUA SANTA,SE001,SE001T0057,1,CHILQUINTA TRANSMISIÓN S.A.,Sí,Sí,Sí
775,S/E ALGARROBO NORTE,SE002,SE002T0057,2,CHILQUINTA TRANSMISIÓN S.A.,Sí,Sí,Sí
776,S/E ALTO MELIPILLA,SE003,SE003T0057,3,CHILQUINTA TRANSMISIÓN S.A.,No,No,No
777,S/E CASABLANCA,SE004,SE004T0057,4,CHILQUINTA TRANSMISIÓN S.A.,Sí,Sí,Sí
778,S/E CATEMU,SE005,SE005T0057,5,CHILQUINTA TRANSMISIÓN S.A.,Sí,Sí,No
779,S/E CHAGRES,SE006,SE006T0057,6,CHILQUINTA TRANSMISIÓN S.A.,Sí,Sí,No
780,S/E CONCON,SE007,SE007T0057,7,CHILQUINTA TRANSMISIÓN S.A.,Sí,Sí,Sí
781,S/E EL MELON,SE008,SE008T0057,8,CHILQUINTA TRANSMISIÓN S.A.,Sí,Sí,No
783,S/E JUNCAL PORTILLO,SE009,SE009T0057,9,CHILQUINTA TRANSMISIÓN S.A.,Sí,Sí,Sí
784,S/E LA CALERA,SE010,SE010T0057,10,CHILQUINTA TRANSMISIÓN S.A.,Sí,Sí,Sí
785,S/E LAS VEGAS (CHILQUINTA),SE021,SE021T0057,21,CHILQUINTA TRANSMISIÓN S.A.,Sí,Sí,Sí
786,TAP OFF LOS ANGELES,SE001,SE001L0072,1,COMPAÑÍA MINERA CERRO NEGRO S.A.,No,No,No
787,S/E LOS PLACERES,SE012,SE012T0057,12,CHILQUINTA TRANSMISIÓN S.A.,Sí,Sí,Sí
788,S/E MIRAFLORES,SE013,SE013T0057,13,CHILQUINTA TRANSMISIÓN S.A.,Sí,Sí,Sí
789,S/E PANQUEHUE,SE050,SE050T0057,50,CHILQUINTA TRANSMISIÓN S.A.,Sí,Sí,Sí
790,S/E PLACILLA (CHILQUINTA),SE048,SE048T0057,48,CHILQUINTA TRANSMISIÓN S.A.,Sí,Sí,Sí
791,S/E PLAYA ANCHA,SE014,SE014T0057,14,CHILQUINTA TRANSMISIÓN S.A.,Sí,Sí,Sí
792,S/E QUILPUE,SE015,SE015T0057,15,CHILQUINTA TRANSMISIÓN S.A.,Sí,Sí,Sí
793,S/E QUINTAY,SE016,SE016T0057,16,CHILQUINTA TRANSMISIÓN S.A.,No,No,No
794,S/E QUINTERO,SE046,SE046T0057,46,CHILQUINTA TRANSMISIÓN S.A.,Sí,Sí,Sí
795,S/E REÑACA,SE042,SE042T0057,42,CHILQUINTA TRANSMISIÓN S.A.,Sí,Sí,Sí
796,S/E RIECILLOS,SE017,SE017T0057,17,CHILQUINTA TRANSMISIÓN S.A.,No,No,Sí
797,S/E RIO BLANCO,SE018,SE018T0057,18,CHILQUINTA TRANSMISIÓN S.A.,Sí,Sí,Sí
798,S/E SAN ANTONIO,SE019,SE019T0057,19,CHILQUINTA TRANSMISIÓN S.A.,Sí,Sí,Sí
799,S/E SAN FELIPE,SE020,SE020T0057,20,CHILQUINTA TRANSMISIÓN S.A.,Sí,Sí,Sí
801,S/E SAN RAFAEL (CHILQUINTA),SE022,SE022T0057,22,CHILQUINTA TRANSMISIÓN S.A.,Sí,Sí,Sí
802,S/E SAN SEBASTIAN,SE023,SE023T0057,23,CHILQUINTA TRANSMISIÓN S.A.,Sí,Sí,Sí
803,S/E TUNEL EL MELON,SE024,SE024T0057,24,CHILQUINTA TRANSMISIÓN S.A.,Sí,Sí,Sí
804,S/E VALPARAISO,SE025,SE025T0057,25,CHILQUINTA TRANSMISIÓN S.A.,Sí,Sí,Sí
822,S/E QUINTA,SE074,SE074T0003,74,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,Sí,No,Sí
825,S/E TRES ESQUINAS,SE002,SE002R0013,2,COOPERATIVA DE CONSUMO DE ENERGÍA ELÉCTRICA CHILLÁN LTDA.,Sí,No,Sí
826,S/E COCHARCAS,SE005,SE005R0013,5,COOPERATIVA DE CONSUMO DE ENERGÍA ELÉCTRICA CHILLÁN LTDA.,Sí,No,Sí
827,S/E QUILMO,SE001,SE001R0013,1,COOPERATIVA DE CONSUMO DE ENERGÍA ELÉCTRICA CHILLÁN LTDA.,Sí,No,Sí
828,S/E RECINTO,SE003,SE003R0013,3,COOPERATIVA DE CONSUMO DE ENERGÍA ELÉCTRICA CHILLÁN LTDA.,Sí,Sí,Sí
829,S/E SANTA ELISA,SE004,SE004R0013,4,COOPERATIVA DE CONSUMO DE ENERGÍA ELÉCTRICA CHILLÁN LTDA.,No,No,Sí
